"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"Gipuzkoa";"Agricultura, ganadería, caza, silvicultura";"1996";3261
"Gipuzkoa";"Agricultura, ganadería, caza, silvicultura";"2001";3106
"Gipuzkoa";"Agricultura, ganadería, caza, silvicultura";"2006";2058
"Gipuzkoa";"Agricultura, ganadería, caza, silvicultura";"2011";2036
"Gipuzkoa";"Agricultura, ganadería, caza, silvicultura";"2016";2320
"Gipuzkoa";"Pesca, acuicultura";"1996";2430
"Gipuzkoa";"Pesca, acuicultura";"2001";1967
"Gipuzkoa";"Pesca, acuicultura";"2006";1144
"Gipuzkoa";"Pesca, acuicultura";"2011";602
"Gipuzkoa";"Pesca, acuicultura";"2016";636
"Gipuzkoa";"Industrias extractivas";"1996";327
"Gipuzkoa";"Industrias extractivas";"2001";277
"Gipuzkoa";"Industrias extractivas";"2006";298
"Gipuzkoa";"Industrias extractivas";"2011";180
"Gipuzkoa";"Industrias extractivas";"2016";125
"Gipuzkoa";"Industria manufacturera";"1996";78352
"Gipuzkoa";"Industria manufacturera";"2001";90069
"Gipuzkoa";"Industria manufacturera";"2006";86677
"Gipuzkoa";"Industria manufacturera";"2011";67304
"Gipuzkoa";"Industria manufacturera";"2016";67071
"Gipuzkoa";"Producción y distribución de energía electrica, gas y agua";"1996";2427
"Gipuzkoa";"Producción y distribución de energía electrica, gas y agua";"2001";1588
"Gipuzkoa";"Producción y distribución de energía electrica, gas y agua";"2006";1052
"Gipuzkoa";"Producción y distribución de energía electrica, gas y agua";"2011";2068
"Gipuzkoa";"Producción y distribución de energía electrica, gas y agua";"2016";2430
"Gipuzkoa";"Construcción";"1996";14740
"Gipuzkoa";"Construcción";"2001";23924
"Gipuzkoa";"Construcción";"2006";26129
"Gipuzkoa";"Construcción";"2011";20565
"Gipuzkoa";"Construcción";"2016";16166
"Gipuzkoa";"Comercio y reparación";"1996";29856
"Gipuzkoa";"Comercio y reparación";"2001";40133
"Gipuzkoa";"Comercio y reparación";"2006";46963
"Gipuzkoa";"Comercio y reparación";"2011";45201
"Gipuzkoa";"Comercio y reparación";"2016";44443
"Gipuzkoa";"Hostelería";"1996";11437
"Gipuzkoa";"Hostelería";"2001";15734
"Gipuzkoa";"Hostelería";"2006";18268
"Gipuzkoa";"Hostelería";"2011";20649
"Gipuzkoa";"Hostelería";"2016";18371
"Gipuzkoa";"Transporte, almacenamiento y comunicaciones";"1996";14781
"Gipuzkoa";"Transporte, almacenamiento y comunicaciones";"2001";17201
"Gipuzkoa";"Transporte, almacenamiento y comunicaciones";"2006";15925
"Gipuzkoa";"Transporte, almacenamiento y comunicaciones";"2011";18399
"Gipuzkoa";"Transporte, almacenamiento y comunicaciones";"2016";22401
"Gipuzkoa";"Intermediación financiera";"1996";7075
"Gipuzkoa";"Intermediación financiera";"2001";7280
"Gipuzkoa";"Intermediación financiera";"2006";7644
"Gipuzkoa";"Intermediación financiera";"2011";6887
"Gipuzkoa";"Intermediación financiera";"2016";6333
"Gipuzkoa";"Alquiler, inmobiliarias y servicios a empresas";"1996";15003
"Gipuzkoa";"Alquiler, inmobiliarias y servicios a empresas";"2001";19998
"Gipuzkoa";"Alquiler, inmobiliarias y servicios a empresas";"2006";32492
"Gipuzkoa";"Alquiler, inmobiliarias y servicios a empresas";"2011";33587
"Gipuzkoa";"Alquiler, inmobiliarias y servicios a empresas";"2016";34741
