"Población de la C.A. de Euskadi por ámbitos territoriales, grupos de países por nacionalidad y periodo"

"ámbitos territoriales";"grupos de países por nacionalidad";"periodo";Población de la C.A. de Euskadi
"Arraia-Maeztu";"Resto de Africa";"2007";-
"Arraia-Maeztu";"Resto de Africa";"2008";-
"Arraia-Maeztu";"Resto de Africa";"2009";-
"Arraia-Maeztu";"Resto de Africa";"2010";-
"Arraia-Maeztu";"Resto de Africa";"2011";-
"Arraia-Maeztu";"Resto de Africa";"2012";1
"Arraia-Maeztu";"Resto de Africa";"2013";1
"Arraia-Maeztu";"Resto de Africa";"2014";-
"Arraia-Maeztu";"Resto de Africa";"2015";-
"Arraia-Maeztu";"Resto de Africa";"2016";-
"Arraia-Maeztu";"Resto de Africa";"2017";-
"Arraia-Maeztu";"Resto de Africa";"2018";-
"Arraia-Maeztu";"Resto de Africa";"2019";1
"Arraia-Maeztu";"Resto de Africa";"2020";-
"Arraia-Maeztu";"Resto de Africa";"2021";1
"Arraia-Maeztu";"América del Sur";"2001";4
"Arraia-Maeztu";"América del Sur";"2002";12
"Arraia-Maeztu";"América del Sur";"2003";4
"Arraia-Maeztu";"América del Sur";"2004";14
"Arraia-Maeztu";"América del Sur";"2005";13
"Arraia-Maeztu";"América del Sur";"2006";12
"Arraia-Maeztu";"América del Sur";"2007";7
"Arraia-Maeztu";"América del Sur";"2008";16
"Arraia-Maeztu";"América del Sur";"2009";15
"Arraia-Maeztu";"América del Sur";"2010";13
"Arraia-Maeztu";"América del Sur";"2011";10
"Arraia-Maeztu";"América del Sur";"2012";2
"Arraia-Maeztu";"América del Sur";"2013";2
"Arraia-Maeztu";"América del Sur";"2014";1
"Arraia-Maeztu";"América del Sur";"2015";1
"Arraia-Maeztu";"América del Sur";"2016";1
"Arraia-Maeztu";"América del Sur";"2017";1
"Arraia-Maeztu";"América del Sur";"2018";2
"Arraia-Maeztu";"América del Sur";"2019";4
"Arraia-Maeztu";"América del Sur";"2020";4
"Arraia-Maeztu";"América del Sur";"2021";3
"Arraia-Maeztu";"Resto de América";"2001";1
"Arraia-Maeztu";"Resto de América";"2002";2
"Arraia-Maeztu";"Resto de América";"2003";2
"Arraia-Maeztu";"Resto de América";"2004";2
"Arraia-Maeztu";"Resto de América";"2005";1
"Arraia-Maeztu";"Resto de América";"2006";-
"Arraia-Maeztu";"Resto de América";"2007";-
"Arraia-Maeztu";"Resto de América";"2008";-
"Arraia-Maeztu";"Resto de América";"2009";-
"Arraia-Maeztu";"Resto de América";"2010";-
"Arraia-Maeztu";"Resto de América";"2011";-
"Arraia-Maeztu";"Resto de América";"2012";-
"Arraia-Maeztu";"Resto de América";"2013";-
"Arraia-Maeztu";"Resto de América";"2014";-
"Arraia-Maeztu";"Resto de América";"2015";-
"Arraia-Maeztu";"Resto de América";"2016";1
"Arraia-Maeztu";"Resto de América";"2017";1
"Arraia-Maeztu";"Resto de América";"2018";-
"Arraia-Maeztu";"Resto de América";"2019";2
"Arraia-Maeztu";"Resto de América";"2020";2
"Arraia-Maeztu";"Resto de América";"2021";4
"Arraia-Maeztu";"Asia y Oceanía";"2001";-
"Arraia-Maeztu";"Asia y Oceanía";"2002";-
"Arraia-Maeztu";"Asia y Oceanía";"2003";-
"Arraia-Maeztu";"Asia y Oceanía";"2004";-
"Arraia-Maeztu";"Asia y Oceanía";"2005";-
"Arraia-Maeztu";"Asia y Oceanía";"2006";-
"Arraia-Maeztu";"Asia y Oceanía";"2007";-
"Arraia-Maeztu";"Asia y Oceanía";"2008";-
"Arraia-Maeztu";"Asia y Oceanía";"2009";-
"Arraia-Maeztu";"Asia y Oceanía";"2010";-
"Arraia-Maeztu";"Asia y Oceanía";"2011";-
"Arraia-Maeztu";"Asia y Oceanía";"2012";-
"Arraia-Maeztu";"Asia y Oceanía";"2013";-
"Arraia-Maeztu";"Asia y Oceanía";"2014";-
"Arraia-Maeztu";"Asia y Oceanía";"2015";-
"Arraia-Maeztu";"Asia y Oceanía";"2016";-
"Arraia-Maeztu";"Asia y Oceanía";"2017";-
"Arraia-Maeztu";"Asia y Oceanía";"2018";-
"Arraia-Maeztu";"Asia y Oceanía";"2019";2
"Arraia-Maeztu";"Asia y Oceanía";"2020";2
"Arraia-Maeztu";"Asia y Oceanía";"2021";5
"Arrankudiaga";"Total";"2001";812
"Arrankudiaga";"Total";"2002";833
"Arrankudiaga";"Total";"2003";821
"Arrankudiaga";"Total";"2004";822
"Arrankudiaga";"Total";"2005";832
"Arrankudiaga";"Total";"2006";843
"Arrankudiaga";"Total";"2007";850
"Arrankudiaga";"Total";"2008";889
"Arrankudiaga";"Total";"2009";911
"Arrankudiaga";"Total";"2010";927
"Arrankudiaga";"Total";"2011";945
"Arrankudiaga";"Total";"2012";974
"Arrankudiaga";"Total";"2013";979
"Arrankudiaga";"Total";"2014";989
"Arrankudiaga";"Total";"2015";994
"Arrankudiaga";"Total";"2016";1006
"Arrankudiaga";"Total";"2017";1015
"Arrankudiaga";"Total";"2018";1018
"Arrankudiaga";"Total";"2019";1019
"Arrankudiaga";"Total";"2020";1018
"Arrankudiaga";"Total";"2021";1011
"Arrankudiaga";"España";"2001";809
"Arrankudiaga";"España";"2002";829
"Arrankudiaga";"España";"2003";817
"Arrankudiaga";"España";"2004";816
"Arrankudiaga";"España";"2005";825
"Arrankudiaga";"España";"2006";835
"Arrankudiaga";"España";"2007";841
"Arrankudiaga";"España";"2008";875
"Arrankudiaga";"España";"2009";893
"Arrankudiaga";"España";"2010";904
"Arrankudiaga";"España";"2011";920
"Arrankudiaga";"España";"2012";947
"Arrankudiaga";"España";"2013";962
"Arrankudiaga";"España";"2014";973
"Arrankudiaga";"España";"2015";981
"Arrankudiaga";"España";"2016";995
"Arrankudiaga";"España";"2017";998
"Arrankudiaga";"España";"2018";995
"Arrankudiaga";"España";"2019";984
"Arrankudiaga";"España";"2020";983
"Arrankudiaga";"España";"2021";974
"Arrankudiaga";"Europa del Este";"2001";-
"Arrankudiaga";"Europa del Este";"2002";1
"Arrankudiaga";"Europa del Este";"2003";1
"Arrankudiaga";"Europa del Este";"2004";1
"Arrankudiaga";"Europa del Este";"2005";1
"Arrankudiaga";"Europa del Este";"2006";1
"Arrankudiaga";"Europa del Este";"2007";3
"Arrankudiaga";"Europa del Este";"2008";3
"Arrankudiaga";"Europa del Este";"2009";3
"Arrankudiaga";"Europa del Este";"2010";9
"Arrankudiaga";"Europa del Este";"2011";10
"Arrankudiaga";"Europa del Este";"2012";6
"Arrankudiaga";"Europa del Este";"2013";4
"Arrankudiaga";"Europa del Este";"2014";2
"Arrankudiaga";"Europa del Este";"2015";1
"Arrankudiaga";"Europa del Este";"2016";1
"Arrankudiaga";"Europa del Este";"2017";1
"Arrankudiaga";"Europa del Este";"2018";2
"Arrankudiaga";"Europa del Este";"2019";2
"Arrankudiaga";"Europa del Este";"2020";1
"Arrankudiaga";"Europa del Este";"2021";1
"Arrankudiaga";"Resto de Europa";"2001";1
"Arrankudiaga";"Resto de Europa";"2002";1
"Arrankudiaga";"Resto de Europa";"2003";1
"Arrankudiaga";"Resto de Europa";"2004";2
"Arrankudiaga";"Resto de Europa";"2005";3
"Arrankudiaga";"Resto de Europa";"2006";4
"Arrankudiaga";"Resto de Europa";"2007";3
"Arrankudiaga";"Resto de Europa";"2008";4
"Arrankudiaga";"Resto de Europa";"2009";5
"Arrankudiaga";"Resto de Europa";"2010";5
"Arrankudiaga";"Resto de Europa";"2011";5
"Arrankudiaga";"Resto de Europa";"2012";5
"Arrankudiaga";"Resto de Europa";"2013";4
"Arrankudiaga";"Resto de Europa";"2014";5
"Arrankudiaga";"Resto de Europa";"2015";5
"Arrankudiaga";"Resto de Europa";"2016";5
"Arrankudiaga";"Resto de Europa";"2017";6
"Arrankudiaga";"Resto de Europa";"2018";6
"Arrankudiaga";"Resto de Europa";"2019";7
"Arrankudiaga";"Resto de Europa";"2020";5
"Arrankudiaga";"Resto de Europa";"2021";4
"Arrankudiaga";"Paises del Magreb";"2001";-
"Arrankudiaga";"Paises del Magreb";"2002";-
"Arrankudiaga";"Paises del Magreb";"2003";-
"Arrankudiaga";"Paises del Magreb";"2004";-
"Arrankudiaga";"Paises del Magreb";"2005";-
"Arrankudiaga";"Paises del Magreb";"2006";-
"Arrankudiaga";"Paises del Magreb";"2007";-
"Arrankudiaga";"Paises del Magreb";"2008";-
"Arrankudiaga";"Paises del Magreb";"2009";-
"Arrankudiaga";"Paises del Magreb";"2010";-
"Arrankudiaga";"Paises del Magreb";"2011";3
"Arrankudiaga";"Paises del Magreb";"2012";6
"Arrankudiaga";"Paises del Magreb";"2013";-
"Arrankudiaga";"Paises del Magreb";"2014";1
"Arrankudiaga";"Paises del Magreb";"2015";-
"Arrankudiaga";"Paises del Magreb";"2016";1
"Arrankudiaga";"Paises del Magreb";"2017";-
"Arrankudiaga";"Paises del Magreb";"2018";-
"Arrankudiaga";"Paises del Magreb";"2019";5
"Arrankudiaga";"Paises del Magreb";"2020";8
"Arrankudiaga";"Paises del Magreb";"2021";15
"Arrankudiaga";"Resto de Africa";"2001";-
"Arrankudiaga";"Resto de Africa";"2002";-
"Arrankudiaga";"Resto de Africa";"2003";-
"Arrankudiaga";"Resto de Africa";"2004";-
"Arrankudiaga";"Resto de Africa";"2005";-
"Arrankudiaga";"Resto de Africa";"2006";-
"Arrankudiaga";"Resto de Africa";"2007";-
"Arrankudiaga";"Resto de Africa";"2008";-
"Arrankudiaga";"Resto de Africa";"2009";-
"Arrankudiaga";"Resto de Africa";"2010";-
"Arrankudiaga";"Resto de Africa";"2011";-
"Arrankudiaga";"Resto de Africa";"2012";-
"Arrankudiaga";"Resto de Africa";"2013";-
"Arrankudiaga";"Resto de Africa";"2014";-
"Arrankudiaga";"Resto de Africa";"2015";-
"Arrankudiaga";"Resto de Africa";"2016";-
"Arrankudiaga";"Resto de Africa";"2017";-
"Arrankudiaga";"Resto de Africa";"2018";4
"Arrankudiaga";"Resto de Africa";"2019";7
"Arrankudiaga";"Resto de Africa";"2020";6
"Arrankudiaga";"Resto de Africa";"2021";3
"Arrankudiaga";"América del Sur";"2001";2
"Arrankudiaga";"América del Sur";"2002";2
"Arrankudiaga";"América del Sur";"2003";2
"Arrankudiaga";"América del Sur";"2004";2
"Arrankudiaga";"América del Sur";"2005";2
"Arrankudiaga";"América del Sur";"2006";2
"Arrankudiaga";"América del Sur";"2007";3
"Arrankudiaga";"América del Sur";"2008";7
"Arrankudiaga";"América del Sur";"2009";10
"Arrankudiaga";"América del Sur";"2010";8
"Arrankudiaga";"América del Sur";"2011";6
"Arrankudiaga";"América del Sur";"2012";9
"Arrankudiaga";"América del Sur";"2013";8
"Arrankudiaga";"América del Sur";"2014";8
"Arrankudiaga";"América del Sur";"2015";5
"Arrankudiaga";"América del Sur";"2016";3
"Arrankudiaga";"América del Sur";"2017";8
"Arrankudiaga";"América del Sur";"2018";9
"Arrankudiaga";"América del Sur";"2019";12
"Arrankudiaga";"América del Sur";"2020";12
"Arrankudiaga";"América del Sur";"2021";10
"Arrankudiaga";"Resto de América";"2001";-
"Arrankudiaga";"Resto de América";"2002";-
"Arrankudiaga";"Resto de América";"2003";-
"Arrankudiaga";"Resto de América";"2004";1
"Arrankudiaga";"Resto de América";"2005";1
"Arrankudiaga";"Resto de América";"2006";1
"Arrankudiaga";"Resto de América";"2007";-
"Arrankudiaga";"Resto de América";"2008";-
"Arrankudiaga";"Resto de América";"2009";-
"Arrankudiaga";"Resto de América";"2010";1
"Arrankudiaga";"Resto de América";"2011";1
"Arrankudiaga";"Resto de América";"2012";1
"Arrankudiaga";"Resto de América";"2013";1
"Arrankudiaga";"Resto de América";"2014";-
"Arrankudiaga";"Resto de América";"2015";2
"Arrankudiaga";"Resto de América";"2016";1
"Arrankudiaga";"Resto de América";"2017";2
"Arrankudiaga";"Resto de América";"2018";2
"Arrankudiaga";"Resto de América";"2019";2
"Arrankudiaga";"Resto de América";"2020";3
"Arrankudiaga";"Resto de América";"2021";4
"Arrankudiaga";"Asia y Oceanía";"2001";-
"Arrankudiaga";"Asia y Oceanía";"2002";-
"Arrankudiaga";"Asia y Oceanía";"2003";-
"Arrankudiaga";"Asia y Oceanía";"2004";-
"Arrankudiaga";"Asia y Oceanía";"2005";-
"Arrankudiaga";"Asia y Oceanía";"2006";-
"Arrankudiaga";"Asia y Oceanía";"2007";-
"Arrankudiaga";"Asia y Oceanía";"2008";-
"Arrankudiaga";"Asia y Oceanía";"2009";-
"Arrankudiaga";"Asia y Oceanía";"2010";-
"Arrankudiaga";"Asia y Oceanía";"2011";-
"Arrankudiaga";"Asia y Oceanía";"2012";-
"Arrankudiaga";"Asia y Oceanía";"2013";-
"Arrankudiaga";"Asia y Oceanía";"2014";-
"Arrankudiaga";"Asia y Oceanía";"2015";-
"Arrankudiaga";"Asia y Oceanía";"2016";-
"Arrankudiaga";"Asia y Oceanía";"2017";-
"Arrankudiaga";"Asia y Oceanía";"2018";-
"Arrankudiaga";"Asia y Oceanía";"2019";-
"Arrankudiaga";"Asia y Oceanía";"2020";-
"Arrankudiaga";"Asia y Oceanía";"2021";-
"Arrasate/Mondragón";"Total";"2001";23026
"Arrasate/Mondragón";"Total";"2002";23012
"Arrasate/Mondragón";"Total";"2003";22853
"Arrasate/Mondragón";"Total";"2004";22702
"Arrasate/Mondragón";"Total";"2005";22411
"Arrasate/Mondragón";"Total";"2006";22118
"Arrasate/Mondragón";"Total";"2007";21917
"Arrasate/Mondragón";"Total";"2008";21778
"Arrasate/Mondragón";"Total";"2009";21872
"Arrasate/Mondragón";"Total";"2010";21833
"Arrasate/Mondragón";"Total";"2011";21771
"Arrasate/Mondragón";"Total";"2012";21831
"Arrasate/Mondragón";"Total";"2013";21904
"Arrasate/Mondragón";"Total";"2014";21922
"Arrasate/Mondragón";"Total";"2015";21933
"Arrasate/Mondragón";"Total";"2016";21903
"Arrasate/Mondragón";"Total";"2017";22047
"Arrasate/Mondragón";"Total";"2018";22124
"Arrasate/Mondragón";"Total";"2019";22058
"Arrasate/Mondragón";"Total";"2020";22082
"Arrasate/Mondragón";"Total";"2021";21729
"Arrasate/Mondragón";"España";"2001";22886
"Arrasate/Mondragón";"España";"2002";22849
"Arrasate/Mondragón";"España";"2003";22679
"Arrasate/Mondragón";"España";"2004";22468
"Arrasate/Mondragón";"España";"2005";22123
"Arrasate/Mondragón";"España";"2006";21737
"Arrasate/Mondragón";"España";"2007";21407
"Arrasate/Mondragón";"España";"2008";21133
"Arrasate/Mondragón";"España";"2009";21027
"Arrasate/Mondragón";"España";"2010";20852
"Arrasate/Mondragón";"España";"2011";20695
"Arrasate/Mondragón";"España";"2012";20643
"Arrasate/Mondragón";"España";"2013";20594
"Arrasate/Mondragón";"España";"2014";20471
"Arrasate/Mondragón";"España";"2015";20532
"Arrasate/Mondragón";"España";"2016";20470
"Arrasate/Mondragón";"España";"2017";20573
"Arrasate/Mondragón";"España";"2018";20571
"Arrasate/Mondragón";"España";"2019";20489
"Arrasate/Mondragón";"España";"2020";20344
"Arrasate/Mondragón";"España";"2021";19991
"Arrasate/Mondragón";"Europa del Este";"2001";4
"Arrasate/Mondragón";"Europa del Este";"2002";4
"Arrasate/Mondragón";"Europa del Este";"2003";3
"Arrasate/Mondragón";"Europa del Este";"2004";6
"Arrasate/Mondragón";"Europa del Este";"2005";21
"Arrasate/Mondragón";"Europa del Este";"2006";18
"Arrasate/Mondragón";"Europa del Este";"2007";19
"Arrasate/Mondragón";"Europa del Este";"2008";37
"Arrasate/Mondragón";"Europa del Este";"2009";45
"Arrasate/Mondragón";"Europa del Este";"2010";63
"Arrasate/Mondragón";"Europa del Este";"2011";73
"Arrasate/Mondragón";"Europa del Este";"2012";89
"Arrasate/Mondragón";"Europa del Este";"2013";84
"Arrasate/Mondragón";"Europa del Este";"2014";84
"Arrasate/Mondragón";"Europa del Este";"2015";96
"Arrasate/Mondragón";"Europa del Este";"2016";72
"Arrasate/Mondragón";"Europa del Este";"2017";67
"Arrasate/Mondragón";"Europa del Este";"2018";56
"Arrasate/Mondragón";"Europa del Este";"2019";62
"Arrasate/Mondragón";"Europa del Este";"2020";58
"Arrasate/Mondragón";"Europa del Este";"2021";62
"Arrasate/Mondragón";"Resto de Europa";"2001";94
"Arrasate/Mondragón";"Resto de Europa";"2002";98
"Arrasate/Mondragón";"Resto de Europa";"2003";88
"Arrasate/Mondragón";"Resto de Europa";"2004";90
"Arrasate/Mondragón";"Resto de Europa";"2005";99
"Arrasate/Mondragón";"Resto de Europa";"2006";116
"Arrasate/Mondragón";"Resto de Europa";"2007";131
"Arrasate/Mondragón";"Resto de Europa";"2008";156
"Arrasate/Mondragón";"Resto de Europa";"2009";181
"Arrasate/Mondragón";"Resto de Europa";"2010";195
"Arrasate/Mondragón";"Resto de Europa";"2011";210
"Arrasate/Mondragón";"Resto de Europa";"2012";208
"Arrasate/Mondragón";"Resto de Europa";"2013";198
"Arrasate/Mondragón";"Resto de Europa";"2014";189
"Arrasate/Mondragón";"Resto de Europa";"2015";159
"Arrasate/Mondragón";"Resto de Europa";"2016";153
"Arrasate/Mondragón";"Resto de Europa";"2017";154
"Arrasate/Mondragón";"Resto de Europa";"2018";145
"Arrasate/Mondragón";"Resto de Europa";"2019";140
"Arrasate/Mondragón";"Resto de Europa";"2020";121
"Arrasate/Mondragón";"Resto de Europa";"2021";120
"Arrasate/Mondragón";"Paises del Magreb";"2001";3
"Arrasate/Mondragón";"Paises del Magreb";"2002";5
"Arrasate/Mondragón";"Paises del Magreb";"2003";9
"Arrasate/Mondragón";"Paises del Magreb";"2004";26
"Arrasate/Mondragón";"Paises del Magreb";"2005";25
"Arrasate/Mondragón";"Paises del Magreb";"2006";34
"Arrasate/Mondragón";"Paises del Magreb";"2007";42
"Arrasate/Mondragón";"Paises del Magreb";"2008";48
"Arrasate/Mondragón";"Paises del Magreb";"2009";78
"Arrasate/Mondragón";"Paises del Magreb";"2010";91
"Arrasate/Mondragón";"Paises del Magreb";"2011";96
"Arrasate/Mondragón";"Paises del Magreb";"2012";112
"Arrasate/Mondragón";"Paises del Magreb";"2013";201
"Arrasate/Mondragón";"Paises del Magreb";"2014";266
"Arrasate/Mondragón";"Paises del Magreb";"2015";340
"Arrasate/Mondragón";"Paises del Magreb";"2016";405
"Arrasate/Mondragón";"Paises del Magreb";"2017";432
"Arrasate/Mondragón";"Paises del Magreb";"2018";456
"Arrasate/Mondragón";"Paises del Magreb";"2019";451
"Arrasate/Mondragón";"Paises del Magreb";"2020";491
"Arrasate/Mondragón";"Paises del Magreb";"2021";449
"Arrasate/Mondragón";"Resto de Africa";"2001";-
"Arrasate/Mondragón";"Resto de Africa";"2002";2
"Arrasate/Mondragón";"Resto de Africa";"2003";-
"Arrasate/Mondragón";"Resto de Africa";"2004";-
"Arrasate/Mondragón";"Resto de Africa";"2005";3
"Arrasate/Mondragón";"Resto de Africa";"2006";1
"Arrasate/Mondragón";"Resto de Africa";"2007";2
"Arrasate/Mondragón";"Resto de Africa";"2008";2
"Arrasate/Mondragón";"Resto de Africa";"2009";1
"Arrasate/Mondragón";"Resto de Africa";"2010";3
"Arrasate/Mondragón";"Resto de Africa";"2011";9
"Arrasate/Mondragón";"Resto de Africa";"2012";9
"Arrasate/Mondragón";"Resto de Africa";"2013";12
"Arrasate/Mondragón";"Resto de Africa";"2014";14
"Arrasate/Mondragón";"Resto de Africa";"2015";17
"Arrasate/Mondragón";"Resto de Africa";"2016";25
"Arrasate/Mondragón";"Resto de Africa";"2017";31
"Arrasate/Mondragón";"Resto de Africa";"2018";42
"Arrasate/Mondragón";"Resto de Africa";"2019";46
"Arrasate/Mondragón";"Resto de Africa";"2020";47
"Arrasate/Mondragón";"Resto de Africa";"2021";49
"Arrasate/Mondragón";"América del Sur";"2001";11
"Arrasate/Mondragón";"América del Sur";"2002";21
"Arrasate/Mondragón";"América del Sur";"2003";27
"Arrasate/Mondragón";"América del Sur";"2004";46
"Arrasate/Mondragón";"América del Sur";"2005";58
"Arrasate/Mondragón";"América del Sur";"2006";105
"Arrasate/Mondragón";"América del Sur";"2007";200
"Arrasate/Mondragón";"América del Sur";"2008";277
"Arrasate/Mondragón";"América del Sur";"2009";373
"Arrasate/Mondragón";"América del Sur";"2010";424
"Arrasate/Mondragón";"América del Sur";"2011";443
"Arrasate/Mondragón";"América del Sur";"2012";428
"Arrasate/Mondragón";"América del Sur";"2013";425
"Arrasate/Mondragón";"América del Sur";"2014";396
"Arrasate/Mondragón";"América del Sur";"2015";292
"Arrasate/Mondragón";"América del Sur";"2016";271
"Arrasate/Mondragón";"América del Sur";"2017";292
"Arrasate/Mondragón";"América del Sur";"2018";304
"Arrasate/Mondragón";"América del Sur";"2019";323
"Arrasate/Mondragón";"América del Sur";"2020";439
"Arrasate/Mondragón";"América del Sur";"2021";442
"Arrasate/Mondragón";"Resto de América";"2001";16
"Arrasate/Mondragón";"Resto de América";"2002";20
"Arrasate/Mondragón";"Resto de América";"2003";25
"Arrasate/Mondragón";"Resto de América";"2004";29
"Arrasate/Mondragón";"Resto de América";"2005";41
"Arrasate/Mondragón";"Resto de América";"2006";49
"Arrasate/Mondragón";"Resto de América";"2007";48
"Arrasate/Mondragón";"Resto de América";"2008";61
"Arrasate/Mondragón";"Resto de América";"2009";80
"Arrasate/Mondragón";"Resto de América";"2010";103
"Arrasate/Mondragón";"Resto de América";"2011";123
"Arrasate/Mondragón";"Resto de América";"2012";135
"Arrasate/Mondragón";"Resto de América";"2013";140
"Arrasate/Mondragón";"Resto de América";"2014";161
"Arrasate/Mondragón";"Resto de América";"2015";147
"Arrasate/Mondragón";"Resto de América";"2016";168
"Arrasate/Mondragón";"Resto de América";"2017";189
"Arrasate/Mondragón";"Resto de América";"2018";226
"Arrasate/Mondragón";"Resto de América";"2019";248
"Arrasate/Mondragón";"Resto de América";"2020";310
"Arrasate/Mondragón";"Resto de América";"2021";333
"Arrasate/Mondragón";"Asia y Oceanía";"2001";12
"Arrasate/Mondragón";"Asia y Oceanía";"2002";13
"Arrasate/Mondragón";"Asia y Oceanía";"2003";22
"Arrasate/Mondragón";"Asia y Oceanía";"2004";37
"Arrasate/Mondragón";"Asia y Oceanía";"2005";41
"Arrasate/Mondragón";"Asia y Oceanía";"2006";58
"Arrasate/Mondragón";"Asia y Oceanía";"2007";68
"Arrasate/Mondragón";"Asia y Oceanía";"2008";64
"Arrasate/Mondragón";"Asia y Oceanía";"2009";87
"Arrasate/Mondragón";"Asia y Oceanía";"2010";102
"Arrasate/Mondragón";"Asia y Oceanía";"2011";122
"Arrasate/Mondragón";"Asia y Oceanía";"2012";207
"Arrasate/Mondragón";"Asia y Oceanía";"2013";250
"Arrasate/Mondragón";"Asia y Oceanía";"2014";341
"Arrasate/Mondragón";"Asia y Oceanía";"2015";350
"Arrasate/Mondragón";"Asia y Oceanía";"2016";339
"Arrasate/Mondragón";"Asia y Oceanía";"2017";309
"Arrasate/Mondragón";"Asia y Oceanía";"2018";324
"Arrasate/Mondragón";"Asia y Oceanía";"2019";299
"Arrasate/Mondragón";"Asia y Oceanía";"2020";272
"Arrasate/Mondragón";"Asia y Oceanía";"2021";283
"Arratzu";"Total";"2001";368
"Arratzu";"Total";"2002";357
"Arratzu";"Total";"2003";347
"Arratzu";"Total";"2004";342
"Arratzu";"Total";"2005";347
"Arratzu";"Total";"2006";352
"Arratzu";"Total";"2007";346
"Arratzu";"Total";"2008";350
"Arratzu";"Total";"2009";368
"Arratzu";"Total";"2010";375
"Arratzu";"Total";"2011";384
"Arratzu";"Total";"2012";387
"Arratzu";"Total";"2013";391
"Arratzu";"Total";"2014";401
"Arratzu";"Total";"2015";406
"Arratzu";"Total";"2016";407
"Arratzu";"Total";"2017";410
"Arratzu";"Total";"2018";415
"Arratzu";"Total";"2019";415
"Arratzu";"Total";"2020";410
"Arratzu";"Total";"2021";414
"Arratzu";"España";"2001";365
"Arratzu";"España";"2002";354
"Arratzu";"España";"2003";344
"Arratzu";"España";"2004";339
"Arratzu";"España";"2005";344
"Arratzu";"España";"2006";348
"Arratzu";"España";"2007";341
"Arratzu";"España";"2008";342
"Arratzu";"España";"2009";358
"Arratzu";"España";"2010";366
"Arratzu";"España";"2011";375
"Arratzu";"España";"2012";377
"Arratzu";"España";"2013";376
"Arratzu";"España";"2014";387
"Arratzu";"España";"2015";390
"Arratzu";"España";"2016";393
"Arratzu";"España";"2017";395
"Arratzu";"España";"2018";399
"Arratzu";"España";"2019";398
"Arratzu";"España";"2020";395
"Arratzu";"España";"2021";394
"Arratzu";"Europa del Este";"2001";-
"Arratzu";"Europa del Este";"2002";-
"Arratzu";"Europa del Este";"2003";-
"Arratzu";"Europa del Este";"2004";-
"Arratzu";"Europa del Este";"2005";-
"Arratzu";"Europa del Este";"2006";1
"Arratzu";"Europa del Este";"2007";2
"Arratzu";"Europa del Este";"2008";2
"Arratzu";"Europa del Este";"2009";1
"Arratzu";"Europa del Este";"2010";1
"Arratzu";"Europa del Este";"2011";1
"Arratzu";"Europa del Este";"2012";1
"Arratzu";"Europa del Este";"2013";3
"Arratzu";"Europa del Este";"2014";4
"Arratzu";"Europa del Este";"2015";5
"Arratzu";"Europa del Este";"2016";4
"Arratzu";"Europa del Este";"2017";5
"Arratzu";"Europa del Este";"2018";5
"Arratzu";"Europa del Este";"2019";5
"Arratzu";"Europa del Este";"2020";4
"Arratzu";"Europa del Este";"2021";4
"Arratzu";"Resto de Europa";"2001";-
"Arratzu";"Resto de Europa";"2002";-
"Arratzu";"Resto de Europa";"2003";-
"Arratzu";"Resto de Europa";"2004";-
"Arratzu";"Resto de Europa";"2005";-
"Arratzu";"Resto de Europa";"2006";-
"Arratzu";"Resto de Europa";"2007";-
"Arratzu";"Resto de Europa";"2008";2
"Arratzu";"Resto de Europa";"2009";3
"Arratzu";"Resto de Europa";"2010";3
"Arratzu";"Resto de Europa";"2011";2
"Arratzu";"Resto de Europa";"2012";2
"Arratzu";"Resto de Europa";"2013";2
"Arratzu";"Resto de Europa";"2014";2
"Arratzu";"Resto de Europa";"2015";2
"Arratzu";"Resto de Europa";"2016";2
"Arratzu";"Resto de Europa";"2017";2
"Arratzu";"Resto de Europa";"2018";2
"Arratzu";"Resto de Europa";"2019";1
"Arratzu";"Resto de Europa";"2020";1
"Arratzu";"Resto de Europa";"2021";-
"Arratzu";"Paises del Magreb";"2001";-
"Arratzu";"Paises del Magreb";"2002";-
"Arratzu";"Paises del Magreb";"2003";-
"Arratzu";"Paises del Magreb";"2004";-
"Arratzu";"Paises del Magreb";"2005";-
"Arratzu";"Paises del Magreb";"2006";-
"Arratzu";"Paises del Magreb";"2007";-
"Arratzu";"Paises del Magreb";"2008";-
"Arratzu";"Paises del Magreb";"2009";-
"Arratzu";"Paises del Magreb";"2010";-
"Arratzu";"Paises del Magreb";"2011";-
"Arratzu";"Paises del Magreb";"2012";1
"Arratzu";"Paises del Magreb";"2013";3
"Arratzu";"Paises del Magreb";"2014";1
"Arratzu";"Paises del Magreb";"2015";1
"Arratzu";"Paises del Magreb";"2016";1
"Arratzu";"Paises del Magreb";"2017";-
"Arratzu";"Paises del Magreb";"2018";-
"Arratzu";"Paises del Magreb";"2019";-
"Arratzu";"Paises del Magreb";"2020";-
"Arratzu";"Paises del Magreb";"2021";1
"Arratzu";"Resto de Africa";"2001";-
"Arratzu";"Resto de Africa";"2002";-
"Arratzu";"Resto de Africa";"2003";-
"Arratzu";"Resto de Africa";"2004";-
"Arratzu";"Resto de Africa";"2005";-
"Arratzu";"Resto de Africa";"2006";-
"Arratzu";"Resto de Africa";"2007";-
"Arratzu";"Resto de Africa";"2008";-
"Arratzu";"Resto de Africa";"2009";-
"Arratzu";"Resto de Africa";"2010";-
"Arratzu";"Resto de Africa";"2011";-
