"Población de la C.A. de Euskadi por ámbitos territoriales, grupos de países por nacionalidad y periodo"

"ámbitos territoriales";"grupos de países por nacionalidad";"periodo";Población de la C.A. de Euskadi
"C.A. de Euskadi";"Resto de Africa";"2010";9257
"C.A. de Euskadi";"Resto de Africa";"2011";10511
"C.A. de Euskadi";"Resto de Africa";"2012";12006
"C.A. de Euskadi";"Resto de Africa";"2013";12458
"C.A. de Euskadi";"Resto de Africa";"2014";12809
"C.A. de Euskadi";"Resto de Africa";"2015";13477
"C.A. de Euskadi";"Resto de Africa";"2016";14423
"C.A. de Euskadi";"Resto de Africa";"2017";15142
"C.A. de Euskadi";"Resto de Africa";"2018";15035
"C.A. de Euskadi";"Resto de Africa";"2019";15875
"C.A. de Euskadi";"Resto de Africa";"2020";16626
"C.A. de Euskadi";"Resto de Africa";"2021";15785
"C.A. de Euskadi";"América del Sur";"2001";5377
"C.A. de Euskadi";"América del Sur";"2002";9968
"C.A. de Euskadi";"América del Sur";"2003";13488
"C.A. de Euskadi";"América del Sur";"2004";18406
"C.A. de Euskadi";"América del Sur";"2005";23972
"C.A. de Euskadi";"América del Sur";"2006";30691
"C.A. de Euskadi";"América del Sur";"2007";38109
"C.A. de Euskadi";"América del Sur";"2008";45797
"C.A. de Euskadi";"América del Sur";"2009";52094
"C.A. de Euskadi";"América del Sur";"2010";54678
"C.A. de Euskadi";"América del Sur";"2011";56402
"C.A. de Euskadi";"América del Sur";"2012";56134
"C.A. de Euskadi";"América del Sur";"2013";54959
"C.A. de Euskadi";"América del Sur";"2014";49835
"C.A. de Euskadi";"América del Sur";"2015";38691
"C.A. de Euskadi";"América del Sur";"2016";38294
"C.A. de Euskadi";"América del Sur";"2017";39984
"C.A. de Euskadi";"América del Sur";"2018";34529
"C.A. de Euskadi";"América del Sur";"2019";39437
"C.A. de Euskadi";"América del Sur";"2020";46794
"C.A. de Euskadi";"América del Sur";"2021";46071
"C.A. de Euskadi";"Resto de América";"2001";2302
"C.A. de Euskadi";"Resto de América";"2002";2556
"C.A. de Euskadi";"Resto de América";"2003";2535
"C.A. de Euskadi";"Resto de América";"2004";2961
"C.A. de Euskadi";"Resto de América";"2005";3531
"C.A. de Euskadi";"Resto de América";"2006";4189
"C.A. de Euskadi";"Resto de América";"2007";5022
"C.A. de Euskadi";"Resto de América";"2008";6766
"C.A. de Euskadi";"Resto de América";"2009";8498
"C.A. de Euskadi";"Resto de América";"2010";9746
"C.A. de Euskadi";"Resto de América";"2011";11373
"C.A. de Euskadi";"Resto de América";"2012";13026
"C.A. de Euskadi";"Resto de América";"2013";14302
"C.A. de Euskadi";"Resto de América";"2014";14531
"C.A. de Euskadi";"Resto de América";"2015";14241
"C.A. de Euskadi";"Resto de América";"2016";15541
"C.A. de Euskadi";"Resto de América";"2017";17437
"C.A. de Euskadi";"Resto de América";"2018";18847
"C.A. de Euskadi";"Resto de América";"2019";23174
"C.A. de Euskadi";"Resto de América";"2020";28147
"C.A. de Euskadi";"Resto de América";"2021";28363
"C.A. de Euskadi";"Asia y Oceanía";"2001";1699
"C.A. de Euskadi";"Asia y Oceanía";"2002";2009
"C.A. de Euskadi";"Asia y Oceanía";"2003";1973
"C.A. de Euskadi";"Asia y Oceanía";"2004";2548
"C.A. de Euskadi";"Asia y Oceanía";"2005";3454
"C.A. de Euskadi";"Asia y Oceanía";"2006";4363
"C.A. de Euskadi";"Asia y Oceanía";"2007";5082
"C.A. de Euskadi";"Asia y Oceanía";"2008";6153
"C.A. de Euskadi";"Asia y Oceanía";"2009";7320
"C.A. de Euskadi";"Asia y Oceanía";"2010";8129
"C.A. de Euskadi";"Asia y Oceanía";"2011";9841
"C.A. de Euskadi";"Asia y Oceanía";"2012";11621
"C.A. de Euskadi";"Asia y Oceanía";"2013";12011
"C.A. de Euskadi";"Asia y Oceanía";"2014";12609
"C.A. de Euskadi";"Asia y Oceanía";"2015";13165
"C.A. de Euskadi";"Asia y Oceanía";"2016";13464
"C.A. de Euskadi";"Asia y Oceanía";"2017";13797
"C.A. de Euskadi";"Asia y Oceanía";"2018";14092
"C.A. de Euskadi";"Asia y Oceanía";"2019";14684
"C.A. de Euskadi";"Asia y Oceanía";"2020";15592
"C.A. de Euskadi";"Asia y Oceanía";"2021";15405
"Araba/Álava";"Total";"2001";284596
"Araba/Álava";"Total";"2002";287560
"Araba/Álava";"Total";"2003";291038
"Araba/Álava";"Total";"2004";294012
"Araba/Álava";"Total";"2005";298166
"Araba/Álava";"Total";"2006";301800
"Araba/Álava";"Total";"2007";305732
"Araba/Álava";"Total";"2008";309786
"Araba/Álava";"Total";"2009";313561
"Araba/Álava";"Total";"2010";317016
"Araba/Álava";"Total";"2011";318730
"Araba/Álava";"Total";"2012";321862
"Araba/Álava";"Total";"2013";320266
"Araba/Álava";"Total";"2014";320032
"Araba/Álava";"Total";"2015";321777
"Araba/Álava";"Total";"2016";322335
